City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puertollano,ES,85.96,clear sky,38.6871,-4.1073,Hotel Puertollano
6,Guymon,US,89.47,clear sky,36.6828,-101.4816,Super 8 Guymon
11,Port Blair,IN,82.18,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
25,Faanui,PF,78.91,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
26,Savannah Bight,HN,89.65,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
29,Komsomolskiy,UZ,80.02,clear sky,40.4272,71.7189,Ikathouse
30,Porto Novo,BJ,76.12,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
33,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,Japura,ID,76.39,broken clouds,-0.3167,102.35,Rumah mbah Jamah
39,Kavieng,PG,81.12,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
41,Springdale,US,89.56,broken clouds,36.1867,-94.1288,Springdale Inn
42,Korla,CN,81.7,overcast clouds,41.7597,86.1469,Gulisitan Hotel
43,Jamestown,US,84.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
45,Shabqadar,PK,79.02,clear sky,34.2139,71.5552,Haji Jamshed khan House
49,Cayenne,GF,86.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
50,Sarangani,PH,80.71,light rain,5.4033,125.4636,Ballistic Islet
51,Marau,BR,76.33,clear sky,-28.4492,-52.2,Hotel Pousada Tordilho Negro
55,Termoli,IT,86.27,light rain,41.9888,14.9895,Hotel Mistral
57,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
59,Kangar,MY,79.05,overcast clouds,6.4414,100.1986,Hotel Seri Malaysia Kangar Perlis
61,Butaritari,KI,82.76,few clouds,3.0707,172.7902,Isles Sunset Lodge
66,Dunmore Town,BS,83.41,scattered clouds,25.5,-76.65,Coral Sands Hotel
67,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
70,Pacific Grove,US,85.01,clear sky,36.6177,-121.9166,Lovers Point Inn
71,Atuona,PF,77.32,light rain,-9.8,-139.0333,Villa Enata
72,Najran,SA,89.19,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
73,Axim,GH,76.23,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
79,Hearst,CA,77.83,overcast clouds,49.6835,-83.6665,Companion
80,Ribeira Grande,PT,77.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
83,Garowe,SO,85.35,clear sky,8.4054,48.4845,Curubo Hotel
85,Hithadhoo,MV,81.63,overcast clouds,-0.6,73.0833,Scoop Guest House
86,Coari,BR,89.62,light rain,-4.085,-63.1414,HOTEL ALEX FLAT
87,Paka,MY,78.35,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
92,Bengkulu,ID,76.41,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
94,Digri,PK,82.67,clear sky,25.1558,69.1113,Sindh Green Hotel
95,Luwuk,ID,75.27,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
96,Zhob,PK,81.61,overcast clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
97,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
99,Coahuayana,MX,89.08,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
100,Tartagal,AR,88.11,clear sky,-22.5164,-63.8013,Almuñecar Hotel
102,Sao Jose Da Coroa Grande,BR,75.72,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
103,Kilindoni,TZ,76.21,clear sky,-7.9139,39.6668,Bustani B&B
106,Saint Anthony,US,80.8,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
111,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
112,San Juan Nepomuceno,CO,86.49,broken clouds,9.9516,-75.082,HOTEL ALCAZAR DE LUCAS
123,Bandarbeyla,SO,76.23,overcast clouds,9.4942,50.8122,JABIR HOTEL
126,Bethel,US,84.47,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
130,Zirandaro,MX,88.27,scattered clouds,18.45,-100.9833,Hotel Pineda
137,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
144,Naze,JP,77.67,clear sky,28.3667,129.4833,Amami Port Tower Hotel
146,Panubigan,PH,77.68,overcast clouds,7.4281,123.3466,Parish Beach
147,The Valley,AI,86.83,haze,18.217,-63.0578,CeBlue Villas & Beach Resort
155,Glenwood Springs,US,84.13,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
157,Daru,PG,75.96,overcast clouds,-9.0763,143.2092,Daru Lodge
158,Aboisso,CI,76.33,scattered clouds,5.4678,-3.2071,Residence Belle Vue
164,Unai,BR,81.46,clear sky,-16.3575,-46.9061,Hotel Regente
165,Adamas,GR,79.07,clear sky,36.7333,24.4333,Aphrodite of Milos
168,Bud,US,89.04,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
177,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
178,Balabac,PH,82.45,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
182,Vanimo,PG,75.9,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
190,Puerto Del Rosario,ES,78.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
193,Natal,BR,81.25,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
195,Samarai,PG,77.43,overcast clouds,-10.6167,150.6667,Nuli Sapi
197,Brigantine,US,78.33,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
198,Dakoro,NE,88.48,overcast clouds,14.5106,6.765,Shagon mai liverpool
199,Hambantota,LK,78.8,broken clouds,6.1241,81.1185,Bungalow 63
201,Ambon,ID,77.95,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
202,Bibbiena,IT,81.01,broken clouds,43.6965,11.8135,Hotel Borgo Antico
209,Itarema,BR,83.16,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
220,Harindanga,IN,84.18,heavy intensity rain,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
224,Guaymas,MX,87.89,broken clouds,27.9333,-110.9,Hotel Armida
225,Aguimes,ES,75.83,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
228,Fukue,JP,80.04,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
229,Robertsport,LR,79.14,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
234,Kaura Namoda,NG,78.22,scattered clouds,12.5898,6.5779,Moonlight Hotel
235,Guerrero Negro,MX,78.78,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
237,Cururupu,BR,85.91,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
239,Koudougou,BF,84.24,overcast clouds,12.25,-2.3667,VAREK OCADES
242,Ponta Do Sol,PT,75.0,scattered clouds,32.6667,-17.1,Hotel do Campo
245,Lucea,JM,89.85,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
247,Kissamos,GR,82.08,clear sky,35.4939,23.6569,Galini Beach Hotel
252,Lompoc,US,88.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
253,Kathu,TH,80.42,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
255,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
259,Oakdale,US,80.47,scattered clouds,44.963,-92.9649,Best Western Regency Plaza Hotel - St. Paul East
261,Pano Aqil,PK,89.49,clear sky,27.8569,69.1116,MUZMMIL AZIZ RESORTS
263,Lamu,KE,75.42,overcast clouds,-2.2717,40.902,Lamu House
267,Terenos,BR,89.31,scattered clouds,-20.4422,-54.8603,Rancho Pitzer
268,Nurota,UZ,82.49,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
271,Wanning,CN,81.81,overcast clouds,18.8003,110.3967,Paradise Hotel
273,Bac Lieu,VN,80.65,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
274,Kamaishi,JP,76.82,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
286,Terre Haute,US,88.5,few clouds,39.4667,-87.4139,Drury Inn & Suites Terre Haute
289,Seoul,KR,76.44,clear sky,37.5683,126.9778,롯데호텔 서울
294,Port-Gentil,GA,75.49,few clouds,-0.7193,8.7815,Fengshui Residence
302,Jiaozuo,CN,76.69,broken clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
303,San Juan De Los Morros,VE,87.78,few clouds,9.9115,-67.3538,Hotel La Montaña
308,Luganville,VU,75.31,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
311,Renigunta,IN,83.64,broken clouds,13.65,79.5167,Appanna Rest House
313,Nadaun,IN,78.08,clear sky,31.7833,76.35,HPSEB Field Hostel
320,Hirara,JP,82.13,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
327,Westport,US,82.04,light rain,41.1415,-73.3579,The Westport Inn
328,Bardiyah,LY,81.05,clear sky,31.7561,25.0865,بورتو بردية
339,Wukari,NG,75.31,overcast clouds,7.85,9.7833,Elimtop
342,Haimen,CN,82.29,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
345,Kalmunai,LK,80.13,overcast clouds,7.4167,81.8167,VS Villa
347,Alpena,US,80.94,overcast clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
348,Tezu,IN,77.38,overcast clouds,27.9167,96.1667,Circuit House
351,Sanandaj,IR,79.83,clear sky,35.3144,46.9923,Sanandaj Tourist Hotel
353,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
365,Sao Filipe,CV,79.63,broken clouds,14.8961,-24.4956,Hotel Xaguate
366,Isla Mujeres,MX,89.65,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
367,Kindu,CD,76.48,few clouds,-2.95,25.95,Résidence Okanda
369,Surt,LY,81.9,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
376,Nishihara,JP,80.65,mist,26.1842,127.7558,Minshuku Agaihama
379,Taoru,IN,87.87,overcast clouds,28.2167,76.95,Aravali Orchard
384,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
388,Jining,CN,75.65,overcast clouds,35.405,116.5814,Yunhe Star Hotel
392,Assai,BR,82.26,broken clouds,-23.3733,-50.8414,Árvore Menor
394,Salinopolis,BR,83.53,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
402,Alamosa,US,83.66,haze,37.4695,-105.87,Best Western Alamosa Inn
411,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
413,Gimli,CA,89.13,few clouds,50.6336,-96.9907,Lakeview Gimli Resort
420,Kirakira,SB,77.0,scattered clouds,-10.4544,161.9205,SanBiz Lodge
424,Hami,CN,82.8,overcast clouds,42.8,93.45,Laoyutang Resort
425,Bubaque,GW,80.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
427,Lotofaga,WS,81.19,broken clouds,-13.9764,-171.8578,Sataoa Beach Fales
429,Kavaratti,IN,80.65,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
431,Vaitape,PF,78.87,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
435,Lorengau,PG,79.86,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
438,Sibolga,ID,75.74,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
439,Katsuura,JP,84.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
441,Odweyne,SO,78.66,light rain,9.4092,45.064,Eng Hiirey House
447,Salamiyah,SY,76.64,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
456,Rio De Janeiro,BR,80.6,few clouds,-22.9028,-43.2075,Hotel Málaga
458,Pasighat,IN,78.87,overcast clouds,28.0667,95.3333,Siang Guest House
463,Nara,JP,79.88,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
465,Capinzal,BR,80.78,clear sky,-27.3436,-51.6119,Hotel Baiolim
471,Miranda,CO,84.65,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
473,Sidi Ali,DZ,75.67,clear sky,36.0998,0.4206,الغابة الترفيهية بورحمة
474,Esterhazy,CA,88.77,clear sky,50.65,-102.0843,Canalta Hotel Esterhazy
478,Tura,IN,75.27,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
480,Dakar,SN,83.28,few clouds,14.6937,-17.4441,Redface Studios Meublés
482,Ivrea,IT,77.54,clear sky,45.4672,7.8762,Hotel la Villa
484,Nampa,US,84.49,clear sky,43.5407,-116.5635,Nampa Downtown
486,Padang,ID,78.31,light rain,-0.9492,100.3543,Mercure Padang
488,Honiara,SB,76.01,overcast clouds,-9.4333,159.95,Heritage Park Hotel
493,Kieta,PG,76.96,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
501,Kaset Sombun,TH,78.89,overcast clouds,16.2805,101.9542,BoonTewa Hotel
502,Kloulklubed,PW,82.29,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
505,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
523,Riohacha,CO,88.14,overcast clouds,11.5444,-72.9072,Hotel Taroa
526,Parrita,CR,85.77,broken clouds,9.5201,-84.3225,Beso del Viento
528,Kladanj,BA,76.28,clear sky,44.2264,18.6914,Hotel and Bar Bosna
529,Eyl,SO,76.77,few clouds,7.9803,49.8164,Amiin Hotel
537,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
538,Coruripe,BR,75.72,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
540,Barpathar,IN,78.46,overcast clouds,26.3,93.8667,chandan jyoti borah
543,Dingle,PH,76.37,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
546,Guruvayur,IN,76.95,light rain,10.5943,76.0411,Kanoos Residency
552,Douglas,US,85.6,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
554,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
556,Dhidhdhoo,MV,82.29,overcast clouds,6.8833,73.1,Dhidhoo beach
559,Muisne,EC,77.38,broken clouds,0.6,-80.0333,Quinta Samay
564,Tateyama,JP,84.22,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
565,Miri,MY,76.5,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
566,Sal Rei,CV,88.0,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
569,Ranot,TH,81.39,moderate rain,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
571,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
573,Hobyo,SO,76.96,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
579,Tecoanapa,MX,87.03,few clouds,16.5167,-98.75,Hotel Manglares
587,Meulaboh,ID,78.06,overcast clouds,4.1363,96.1285,Kost Pria
588,Los Algarrobos,PA,84.61,scattered clouds,8.5,-82.4333,Waterfall Hostel
589,Ivaipora,BR,77.94,clear sky,-24.2478,-51.6847,Vilhar Palace Hotel
591,Marrakesh,MA,89.67,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
598,Saint-Georges,GD,83.75,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
600,Veraval,IN,80.65,overcast clouds,20.9,70.3667,Lords Inn Somnath
604,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
606,Itaberaba,BR,77.94,overcast clouds,-12.5275,-40.3069,Araújo Hotel
609,Marsh Harbour,BS,83.88,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
610,Sola,VU,75.38,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
614,Tual,ID,80.31,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
617,Balod,IN,78.89,overcast clouds,20.73,81.2047,CJM Bunglow
622,Ahuimanu,US,82.11,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
623,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
624,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
625,Akdepe,TM,82.49,clear sky,42.0551,59.3788,Мой дом
630,Ise,JP,83.52,overcast clouds,34.4833,136.7,Ise Fresh
633,Inirida,CO,82.24,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
634,Itacarambi,BR,83.7,scattered clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
