City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,66.11,77,100,11.36,overcast clouds
1,Griffith,US,41.5284,-87.4237,69.73,95,40,0.0,scattered clouds
2,Mataura,NZ,-46.1927,168.8643,38.48,97,100,2.66,overcast clouds
3,Flinders,AU,-34.5833,150.8552,61.21,63,0,7.31,clear sky
4,Georgetown,MY,5.4112,100.3354,89.55,72,20,11.5,thunderstorm
5,Hermanus,ZA,-34.4187,19.2345,58.42,67,98,2.77,overcast clouds
6,Vila Velha,BR,-20.3297,-40.2925,64.35,94,90,4.61,mist
7,Krasnoselkup,RU,65.7,82.4667,81.28,39,6,1.61,clear sky
8,Kavieng,PG,-2.5744,150.7967,83.26,74,39,15.1,light rain
9,Bucerias,MX,20.75,-105.3333,75.97,100,100,3.8,overcast clouds
10,Adrar,MR,20.5022,-10.0711,87.91,39,21,18.28,few clouds
11,Butaritari,KI,3.0707,172.7902,83.32,69,10,7.36,clear sky
12,Beyneu,KZ,45.3167,55.2,97.29,17,0,9.55,clear sky
13,Khatanga,RU,71.9667,102.5,63.32,42,100,9.73,overcast clouds
14,Pangnirtung,CA,66.1451,-65.7125,38.61,97,100,2.35,overcast clouds
15,Mount Isa,AU,-20.7333,139.5,74.97,14,0,11.5,clear sky
16,Yellowknife,CA,62.456,-114.3525,63.12,72,75,4.61,broken clouds
17,Jizan,SA,17.3333,42.6667,94.14,46,59,10.4,broken clouds
18,Padang,ID,-0.9492,100.3543,86.05,74,74,4.97,broken clouds
19,Bambous Virieux,MU,-20.3428,57.7575,75.45,60,75,11.5,broken clouds
20,Kodiak,US,57.79,-152.4072,54.19,87,89,1.52,overcast clouds
21,Albany,US,42.6001,-73.9662,68.67,88,100,2.53,overcast clouds
22,Auki,SB,-8.7676,160.7034,78.48,82,99,3.09,overcast clouds
23,Gewane,ET,10.1664,40.6453,85.57,48,90,7.87,overcast clouds
24,Port Alfred,ZA,-33.5906,26.891,61.95,68,2,3.11,clear sky
25,Tasiilaq,GL,65.6145,-37.6368,42.96,93,100,3.31,overcast clouds
26,Port Blair,IN,11.6667,92.75,82.44,83,90,6.91,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,31.66,86,90,13.8,light snow
28,Hilo,US,19.7297,-155.09,74.25,94,90,5.75,moderate rain
29,Umm Kaddadah,SD,13.6017,26.6876,77.11,72,100,18.19,overcast clouds
30,Trafaria,PT,38.6722,-9.2327,68.45,80,40,12.66,scattered clouds
31,Puerto Maldonado,PE,-12.6,-69.1833,64.51,61,0,0.78,clear sky
32,Rikitea,PF,-23.1203,-134.9692,74.43,79,7,6.96,clear sky
33,Lata,PT,40.1629,-8.3327,64.04,74,58,7.07,broken clouds
34,Siyabuswa,ZA,-25.1132,29.0445,71.46,16,0,2.01,clear sky
35,Ribeira Grande,PT,38.5167,-28.7,68.4,68,40,6.91,scattered clouds
36,Kapaa,US,22.0752,-159.319,80.92,72,75,1.99,light rain
37,Bluff,NZ,-46.6,168.3333,38.8,64,95,9.24,overcast clouds
38,Arraias,BR,-12.9288,-46.9437,65.01,61,54,9.28,broken clouds
39,Lompoc,US,34.6391,-120.4579,60.42,94,90,3.44,fog
40,Vaini,TO,-21.2,-175.2,68.16,83,20,8.05,few clouds
41,Abu Kamal,SY,34.4506,40.9171,100.72,22,0,14.81,clear sky
42,Castro,BR,-24.7911,-50.0119,53.76,96,99,6.73,overcast clouds
43,Usinsk,RU,65.9939,57.5281,55.92,68,100,11.59,overcast clouds
44,Conceicao Do Araguaia,BR,-8.2578,-49.2647,71.73,56,0,4.61,clear sky
45,Jamestown,US,42.097,-79.2353,69.71,95,1,1.01,clear sky
46,Saskylakh,RU,71.9167,114.0833,53.76,64,94,2.93,overcast clouds
47,Horqueta,PY,-23.3428,-57.0597,64.99,46,0,6.46,clear sky
48,Chicama,PE,-7.8447,-79.1469,62.74,88,29,4.72,scattered clouds
49,Liwale,TZ,-9.7667,37.9333,80.89,39,1,5.03,clear sky
50,Maitum,PH,6.0392,124.4986,85.69,66,64,4.09,broken clouds
51,Kahului,US,20.8947,-156.47,77.02,85,40,17.27,scattered clouds
52,Broome,US,42.2506,-75.833,70.36,94,100,3.0,overcast clouds
53,San Cristobal,VE,7.7669,-72.225,63.3,96,81,3.0,broken clouds
54,Bredasdorp,ZA,-34.5322,20.0403,49.32,93,100,5.75,overcast clouds
55,Tuatapere,NZ,-46.1333,167.6833,38.82,89,100,4.5,light rain
56,Luderitz,NA,-26.6481,15.1594,65.66,40,10,3.4,clear sky
57,Lebu,CL,-37.6167,-73.65,48.2,89,56,13.04,broken clouds
58,Cidreira,BR,-30.1811,-50.2056,58.48,93,90,10.54,overcast clouds
59,Lavrentiya,RU,65.5833,-171.0,44.33,78,99,14.85,overcast clouds
60,Egvekinot,RU,66.3167,-179.1667,39.49,82,95,16.89,overcast clouds
61,Cherskiy,RU,68.75,161.3,64.15,51,86,5.99,overcast clouds
62,Souillac,MU,-20.5167,57.5167,75.58,60,75,11.5,broken clouds
63,Lucapa,AO,-8.4192,20.7447,80.2,11,99,8.41,overcast clouds
