City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-08-06 17:35:S,-54.8,-68.3,35.26,93,40,24.16
1,Chuy,UY,2021-08-06 17:38:S,-33.6971,-53.4616,65.61,73,85,8.16
2,Eidsvag,NO,2021-08-06 17:38:S,62.7767,8.0668,75.25,59,64,1.32
3,Sao Cristovao,BR,2021-08-06 17:38:S,-11.0147,-37.2064,82.31,65,40,17.27
4,Westport,US,2021-08-06 17:38:S,41.1415,-73.3579,91.08,52,1,1.01
5,Torbay,CA,2021-08-06 17:38:S,47.6666,-52.7314,81.37,77,40,25.32
6,Severodvinsk,RU,2021-08-06 17:38:S,64.5635,39.8302,60.91,75,11,6.2
7,Padang,ID,2021-08-06 17:38:S,-0.9492,100.3543,78.42,82,95,3.4
8,Gizo,SB,2021-08-06 17:38:S,-8.103,156.8419,81.01,72,98,16.58
9,Katangli,RU,2021-08-06 17:38:S,51.7102,143.2326,53.76,99,100,13.82
10,Busselton,AU,2021-08-06 17:38:S,-33.65,115.3333,51.04,80,0,10.67
11,Lisala,CD,2021-08-06 17:38:S,2.15,21.5167,70.02,99,89,4.5
12,Vaini,TO,2021-08-06 17:38:S,-21.2,-175.2,69.96,94,20,6.91
13,Punta Arenas,CL,2021-08-06 17:38:S,-53.15,-70.9167,37.42,86,75,27.63
14,Kahului,US,2021-08-06 17:38:S,20.8947,-156.47,79.84,90,20,16.11
15,Mataura,NZ,2021-08-06 17:38:S,-46.1927,168.8643,40.48,95,80,5.46
16,Hilo,US,2021-08-06 17:34:S,19.7297,-155.09,74.93,90,90,0.0
17,Tiksi,RU,2021-08-06 17:38:S,71.6872,128.8694,39.18,95,47,7.99
18,Castro,BR,2021-08-06 17:38:S,-24.7911,-50.0119,68.32,52,43,8.86
19,Geraldton,AU,2021-08-06 17:38:S,-28.7667,114.6,54.01,58,40,17.27
20,Batavia,US,2021-08-06 17:36:S,41.85,-88.3126,82.42,71,40,1.99
21,Jamestown,US,2021-08-06 17:38:S,42.097,-79.2353,85.17,55,75,7.0
22,Yellowknife,CA,2021-08-06 17:35:S,62.456,-114.3525,66.72,48,75,11.5
23,Port Elizabeth,ZA,2021-08-06 17:38:S,-33.918,25.5701,56.1,94,20,3.44
24,Waipawa,NZ,2021-08-06 17:38:S,-41.4122,175.5153,48.94,91,42,4.36
25,Boljevac,RS,2021-08-06 17:38:S,43.8303,21.9531,78.06,47,27,2.21
26,Chenzhou,CN,2021-08-06 17:38:S,25.8,113.0333,77.25,96,83,2.24
27,Tumpat,MY,2021-08-06 17:38:S,6.1978,102.171,80.58,88,20,0.0
28,Ketchikan,US,2021-08-06 17:38:S,55.3422,-131.6461,55.87,100,90,8.05
29,Ponta Delgada,PT,2021-08-06 17:38:S,37.7333,-25.6667,75.92,64,20,11.5
30,Chokurdakh,RU,2021-08-06 17:38:S,70.6333,147.9167,41.74,82,100,7.45
31,Copiapo,CL,2021-08-06 17:38:S,-27.3667,-70.3333,58.69,28,6,7.74
32,Port Hardy,CA,2021-08-06 17:38:S,50.6996,-127.4199,57.38,94,90,3.44
33,Dolores,AR,2021-08-06 17:38:S,-36.3132,-57.6792,70.93,53,0,11.41
34,Nouadhibou,MR,2021-08-06 17:38:S,20.931,-17.0347,76.98,69,4,20.71
35,Dikson,RU,2021-08-06 17:38:S,73.5069,80.5464,52.43,83,54,9.8
36,Hasaki,JP,2021-08-06 17:38:S,35.7333,140.8333,79.2,90,4,6.91
37,Aklavik,CA,2021-08-06 17:38:S,68.2191,-135.0107,42.8,93,90,9.22
38,Kavaratti,IN,2021-08-06 17:38:S,10.5669,72.642,81.99,80,83,22.84
39,Atuona,PF,2021-08-06 17:38:S,-9.8,-139.0333,77.76,77,22,15.75
40,Albany,US,2021-08-06 17:35:S,42.6001,-73.9662,87.53,56,1,1.99
41,San Vicente,AR,2021-08-06 17:39:S,-26.6167,-54.1333,75.18,36,93,5.77
42,Phalodi,IN,2021-08-06 17:39:S,27.1333,72.3667,91.58,45,100,20.85
43,Komsomolskiy,UZ,2021-08-06 17:39:S,40.4272,71.7189,83.12,30,94,9.22
44,Bredasdorp,ZA,2021-08-06 17:34:S,-34.5322,20.0403,54.72,94,17,2.3
45,Waingapu,ID,2021-08-06 17:39:S,-9.6567,120.2641,75.04,80,20,11.3
46,Upernavik,GL,2021-08-06 17:39:S,72.7868,-56.1549,42.64,92,100,7.43
47,Urubicha,BO,2021-08-06 17:39:S,-15.3833,-62.95,94.82,18,0,3.29
48,Airai,TL,2021-08-06 17:39:S,-8.9266,125.4092,53.85,85,53,3.67
49,Khatanga,RU,2021-08-06 17:39:S,71.9667,102.5,53.06,54,54,8.95
50,Mar Del Plata,AR,2021-08-06 17:39:S,-38.0023,-57.5575,65.08,31,90,8.99
51,Arraial Do Cabo,BR,2021-08-06 17:39:S,-22.9661,-42.0278,73.26,68,40,17.27
52,Rikitea,PF,2021-08-06 17:39:S,-23.1203,-134.9692,74.37,75,12,14.09
53,Frontera,MX,2021-08-06 17:39:S,26.9333,-101.45,81.32,76,75,4.61
54,Nola,IT,2021-08-06 17:39:S,40.922,14.5329,83.26,63,2,5.99
